Episode,Iteration,Return,Success,Steps,ActorLoss,CriticLoss,PolicyStd,Status
1748,77,-26.1166778047543,0,90,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1749,77,-27.1664943315574,0,94,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1750,77,-23.3967621620382,0,84,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1751,77,-28.5242224288533,0,83,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1752,77,-23.9769726552228,0,90,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1753,77,-24.6795339827939,0,89,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1754,77,-25.1781037438519,0,93,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1755,77,-24.079261783747,0,84,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1756,77,-25.16260608083,0,85,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1757,77,-25.2680103682616,0,76,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1758,77,-23.7149123657247,0,78,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1759,77,-29.9016481002387,0,102,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1760,77,-24.4213729326757,0,79,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1761,77,-24.8153494710498,0,85,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1762,77,-29.0961638412273,0,97,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1763,77,-28.3520686606051,0,94,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1764,77,-27.3193107505758,0,80,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1765,77,-24.3894784955169,0,73,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
